sample,oldName,ID,region,bank,site,date,species,latDD,longDD,depthFt,depthM,depthZone
SGM159,SGM177,SGM159,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,77,23.5,Shallow
SGM160,SGM178,SGM160,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,75,22.9,Shallow
SGM161,SGM179,SGM161,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,76,23.2,Shallow
SGM162,SGM180,SGM162,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,74,22.6,Shallow
SGM163,SGM181,SGM163,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,77,23.5,Shallow
SGM164,SGM182,SGM164,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,73,22.3,Shallow
SGM165,SGM183,SGM165,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,75,22.9,Shallow
SGM166,SGM184,SGM166,NWGOM,WFGB,WBShal1,8/2/21,S. intersepta,27.87429,-93.82033,73,22.3,Shallow
SGM167,SGM186,SGM167,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,79,24.1,Shallow
SGM168,SGM187,SGM168,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,81,24.7,Shallow
SGM169,SGM189,SGM169,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,80,24.4,Shallow
SGM170,SGM190,SGM170,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,84,25.6,Shallow
SGM171,SGM192,SGM171,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,73,22.3,Shallow
SGM172,SGM193,SGM172,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,71,21.6,Shallow
SGM173,SGM194,SGM173,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,75,22.9,Shallow
SGM174,SGM195,SGM174,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,75,22.9,Shallow
SGM175,SGM197,SGM175,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,73,22.3,Shallow
SGM176,SGM199,SGM176,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,77,23.5,Shallow
SGM177,SGM200,SGM177,NWGOM,WFGB,WBShal1,8/3/21,S. intersepta,27.87429,-93.82033,77,23.5,Shallow
SGM178,SGM201,SGM178,NWGOM,EFGB,EBMeso1,7/31/21,S. intersepta,27.91102,-93.59668,154,46.9,Mesophotic
SGM179,SGM203,SGM179,NWGOM,EFGB,EBMeso1,7/31/21,S. intersepta,27.91102,-93.59668,152,46.3,Mesophotic
SGM180,SGM204,SGM180,NWGOM,EFGB,EBMeso1,7/31/21,S. intersepta,27.91102,-93.59668,160,48.8,Mesophotic
SGM181,SGB002,SGM181,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,154,46.9,Mesophotic
SGM182,SGB004,SGM182,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,146,44.5,Mesophotic
SGM183,SGB005,SGM183,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,147,44.8,Mesophotic
SGM184,SGB006,SGM184,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,149,45.4,Mesophotic
SGM185,SGB007,SGM185,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,152,46.3,Mesophotic
SGM186.1,SGB008,SGM186,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,151,46,Mesophotic
SGM186.2,SGB008.2,SGM186,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,151,46,Mesophotic
SGM186.3,SGB008.3,SGM186,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,151,46,Mesophotic
SGM187,SGB009,SGM187,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,151,46,Mesophotic
SGM188,SGB010,SGM188,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,150,45.7,Mesophotic
SGM189,SGB011,SGM189,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,168,51.2,Mesophotic
SGM190,SGB012,SGM190,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,171,52.1,Mesophotic
SGM191,SGB013,SGM191,NWGOM,Geyer,GBMeso1,5/16/23,S. intersepta,27.84753,-93.06443,170,51.8,Mesophotic
SGM192,SGB015,SGM192,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,152,46.3,Mesophotic
SGM193,SGB016,SGM193,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,147,44.8,Mesophotic
SGM194,SGB017,SGM194,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,153,46.6,Mesophotic
SGM195,SGB018,SGM195,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,153,46.6,Mesophotic
SGM196,SGB019,SGM196,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,152,46.3,Mesophotic
SGM197.1,SGB020,SGM197,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,154,46.9,Mesophotic
SGM197.2,SGB020.2,SGM197,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,154,46.9,Mesophotic
SGM197.3,SGB020.3,SGM197,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,154,46.9,Mesophotic
SGM198,SGB021,SGM198,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,159,48.5,Mesophotic
SGM199,SGB022,SGM199,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,151,46,Mesophotic
SGM200,SGB023,SGM200,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,147,44.8,Mesophotic
SGM201,SGB024,SGM201,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,158,48.2,Mesophotic
SGM202,SGB025,SGM202,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,159,48.5,Mesophotic
SGM203,SGB026,SGM203,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,152,46.3,Mesophotic
SGM204,SGB027,SGM204,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,151,46,Mesophotic
SGM205,SGB028,SGM205,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,145,44.2,Mesophotic
SGM206.1,SGB029,SGM206,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,141,43,Mesophotic
SGM206.2,SGB029.2,SGM206,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,141,43,Mesophotic
SGM206.3,SGB029.3,SGM206,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,141,43,Mesophotic
SGM207,SGB030,SGM207,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,137,41.8,Mesophotic
SGM208,SGB031,SGM208,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,153,46.6,Mesophotic
SGM209,SGB032,SGM209,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,146,44.5,Mesophotic
SGM210,SGB033,SGM210,NWGOM,Geyer,GBMeso1,5/17/23,S. intersepta,27.84753,-93.06443,142,43.3,Mesophotic
XGM001,XGM001,XGM001,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,74,22.6,Shallow
XGM002,XGM002,XGM002,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,76,23.2,Shallow
XGM003,XGM003,XGM003,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,76,23.2,Shallow
XGM004,XGM005,XGM004,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,74,22.6,Shallow
XGM005,XGM006,XGM005,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,72,21.9,Shallow
XGM006,XGM007,XGM006,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,73,22.3,Shallow
XGM007,XGM008,XGM007,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,71,21.6,Shallow
XGM008,XGM009,XGM008,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,74,22.6,Shallow
XGM009,XGM010,XGM009,NWGOM,WFGB,WBShal1,7/9/18,X. muta,27.87429,-93.82033,74,22.6,Shallow
XGM010,XGM011,XGM010,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,67,20.4,Shallow
XGM011,XGM014,XGM011,NWGOM,EFGB,EBShal1,7/10/18,X. muta,27.9114,-93.59821,75,22.9,Shallow
